姓名;职级;出生年;祖籍或出生地;毕业院校;任职地区;任职系统;简历;照片;英文名;rank;id2
蒋国星;5;1955;江苏;;江苏;江苏;1955年出生，原江苏省新闻出版局副局长、党组成员。;person220;;0;persons220
邓炳球;5;1957;广东;惠州教育学院;广东;广东;1957年出生，原惠州市政协副主席、党组成员、秘书长、办公室主任。;person221;;0;persons221
李正伦;5;;山西;;山西;山西;原山西人大副秘书长。;person222;;0;persons222
康晓东;5;1953;云南;;云南;云南;1953年出生，原康晓东省司法厅副厅长。;person223;;0;persons223
蔡荣生;5;1965;吉林;中国人民大学;北京;北京;1965年出生，中国人民大学招生就业处原处长。;person224;;0;persons224
李东光 ;4;1960;;鞍山钢铁学院;中央;中央;1960年出生，中国铝业股份有限公司（601600.SH）原副总裁、中铝国际贸易有限公司总经理。;person225;;0;persons225
徐敏杰;4;1959;;青岛远洋船员学院;上海中央;上海中央;1959年出生，中国远洋运输（集团）总公司副总裁、中集集团原副董事长。;person226;;0;persons226
茅士家;5;1950;;上海海运学院;中央;中央;1950年出生，中海油运前总经理。;person227;;0;persons227
余思友;5;;;;广州i;广州i;原中国南方航空营销委常务副主任。;person228;;0;persons228
秦国辉;5;;;;广州;广州;原中国南方航空营销委常务副主任。;person229;;0;persons229
季建业;3;1957;江苏;苏州大学;江苏;江苏;1957年出生，原南京市委副书记、市长。;person230;;0;persons230
廖少华;3;1960;四川;西南交通大学;中央贵州;中央贵州;1960年出生，原贵州省常委，遵义市委书记。;person231;;0;persons231
齐平景;4;1954;河北;北京外国语大学;中央;中央;1954年出生，原中国外文局副局长。;person232;;0;persons232
郭超;5;;安徽;;安徽;安徽;原安徽省合肥市人大常委会副主任。;person233;;0;persons233
